PLANTAORIGEN_Pesqueria,D_CLIENTE,PESO_NETO,ESTADO,CIUDAD,TIPOTRANSPORTE,target
1,56,31450,5,41,7,60
1,109,35020,14,13,7,25
1,78,39750,14,3,6,40
1,266,23200,14,3,7,45
1,56,31060,5,41,7,60
1,202,30310,14,23,7,44
1,56,31430,5,41,5,63
1,30,26080,14,3,6,50
1,56,32350,5,41,7,60
1,266,24240,14,3,6,40
1,56,32560,5,41,5,73
1,15,35580,5,20,5,65
1,266,24650,14,3,6,40
1,56,31180,5,41,5,64
1,266,24710,14,3,6,40
1,56,30850,5,41,5,63
1,266,38200,14,3,6,40
1,202,30860,14,23,5,9
1,15,36130,5,20,5,64
1,56,25300,5,41,9,63
1,78,31780,14,3,6,40
1,30,37950,14,3,5,25
1,202,29740,14,23,5,54
1,266,24660,14,3,6,40
1,84,38640,14,23,5,25
1,157,21810,14,49,6,41
1,266,23290,14,3,6,48
1,266,22360,14,3,6,48
1,266,23160,14,3,6,40
1,161,19580,14,55,5,7
1,137,21230,14,61,6,44
1,30,36480,14,3,8,54
1,137,37580,14,61,6,52
1,266,27710,14,3,6,40
1,109,35800,14,13,5,45
1,30,26310,14,3,6,41
1,109,20670,14,13,6,50
1,111,23160,14,23,6,40
1,111,35780,14,23,6,40
1,227,37550,14,42,6,52
1,168,20760,14,3,6,50
1,268,20630,14,3,5,57
1,201,27390,14,18,6,44
1,145,22980,14,61,6,39
1,268,37030,14,3,7,45
1,268,38710,14,3,5,54
1,145,22000,14,61,6,52
1,137,21430,14,61,6,52
1,236,37290,18,60,5,48
1,109,39720,14,13,5,54
1,93,30520,14,13,6,50
1,268,36980,14,3,5,9
1,140,22890,14,3,3,68
1,93,20670,14,13,6,40
1,56,38780,5,41,5,60
1,56,30310,5,41,5,62
1,15,38070,5,20,7,60
1,166,35360,5,52,5,4
1,227,21100,14,42,6,41
1,93,20710,14,13,6,50
1,227,36430,14,42,5,9
1,111,35640,14,23,6,40
1,166,26250,8,10,9,50
1,69,31650,14,3,6,40
1,145,32450,14,61,6,52
1,145,23540,14,61,6,39
1,69,38780,14,3,6,40
1,144,32930,14,3,6,40
1,227,36040,14,42,6,52
1,266,23340,14,3,6,40
1,266,24030,14,3,6,40
1,260,30820,14,61,5,54
1,164,20930,14,23,6,40
1,260,25720,14,61,5,54
1,56,23910,5,41,5,62
1,266,24240,14,3,6,50
1,227,33520,14,42,6,39
1,266,32510,14,3,6,50
1,236,33800,18,60,5,50
1,147,24100,22,1,3,75
1,106,36000,8,60,5,33
1,268,22860,14,3,5,12
1,144,38590,14,3,6,40
1,168,22420,14,3,6,50
1,111,30220,14,23,6,40
1,236,29360,18,60,9,50
1,111,21900,14,23,6,40
1,6,25710,14,61,5,45
1,111,29820,14,23,6,40
1,78,35440,14,3,6,40
1,6,23830,14,61,6,40
1,78,33590,14,3,6,40
1,147,23860,22,1,3,75
1,84,19270,14,23,6,40
1,84,19360,14,23,6,40
1,111,38990,14,23,6,40
1,144,38760,14,3,6,40
1,168,25660,14,3,6,40
1,93,20820,14,13,6,50
1,93,20910,14,13,6,40
1,227,33620,14,42,5,41
1,36,19800,14,13,6,40
1,111,30350,14,23,5,57
1,151,18370,14,3,5,57
1,144,19640,14,3,6,40
1,227,23970,14,42,6,52
1,96,30850,14,3,7,12
1,93,27860,14,13,6,40
1,227,23680,14,42,6,52
1,144,26880,14,3,6,40
1,69,31600,14,3,6,50
1,93,20670,14,13,6,40
1,227,24360,14,42,6,52
1,227,37160,14,42,11,52
1,144,19200,14,3,6,40
1,268,20550,14,3,7,57
1,267,21180,14,63,5,54
1,93,26620,14,13,6,56
1,144,32960,14,3,6,40
1,236,34310,18,60,9,50
1,227,20520,14,42,11,43
1,227,22440,14,42,6,40
1,77,32400,14,3,6,40
1,170,27670,5,7,6,52
1,204,26940,14,3,5,57
1,227,36900,14,42,6,44
1,140,31660,14,3,6,40
1,204,26320,14,3,7,45
1,111,22740,14,23,6,50
1,144,19280,14,3,6,50
1,204,34300,14,3,5,41
1,144,20770,14,3,6,40
1,111,29630,14,23,6,56
1,111,30460,14,23,6,40
1,268,23030,14,3,5,54
1,227,23270,14,42,6,39
1,144,37100,14,3,6,40
1,111,20250,14,23,6,40
1,204,26740,14,3,5,41
1,196,39000,14,3,5,54
1,144,32260,14,3,6,40
1,204,36100,14,3,5,41
1,268,23050,14,3,5,54
1,204,38090,14,3,5,54
1,227,23030,14,42,6,52
1,227,22760,14,42,6,39
1,120,26240,22,36,5,66
1,227,37240,14,42,6,40
1,204,26910,14,3,5,41
